date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,90.9001,90.9001,89.4834,89.6881,10571392,10571392,-1.0728,-1.182,89.4991,"Feb 5, 14",0
2014-02-06,90.1713,91.1867,90.0075,91.1212,7989804,7989804,1.4331,1.598,90.9574,"Feb 6, 14",0.015978708435121225
2014-02-07,91.6453,91.8173,90.4006,91.76,7109393,7109393,0.638757,0.701,90.3531,"Feb 7, 14",0.02310116949740266
2014-02-10,92.1039,92.1039,90.9656,91.4652,9251748,9251748,-0.294809,-0.321,91.3719,"Feb 10, 14",0.01981422284561709
2014-02-11,91.7436,93.2504,91.6781,93.0129,6880829,6880829,1.5478,1.692,92.7776,"Feb 11, 14",0.03707069276749085
2014-02-12,93.269,93.269,92.3767,92.5585,6436077,6436077,-0.454443,-0.489,92.6574,"Feb 12, 14",0.03200424582525429
2014-02-13,92.3106,93.1451,91.8562,92.9551,5064114,5064114,0.396571,0.428,92.7114,"Feb 13, 14",0.03642623714851798
2014-02-14,93.0129,94.0456,92.195,93.7565,6787514,6787514,0.801411,0.862,93.364,"Feb 14, 14",0.045361647754830314
2014-02-18,94.0704,94.277,93.0294,93.1203,6111613,6111613,-0.636169,-0.679,93.51,"Feb 18, 14",0.03826817604565148
2014-02-19,92.9881,95.0536,92.922,93.8556,7993616,7993616,0.73531,0.79,94.4056,"Feb 19, 14",0.04646658809808647
2014-02-20,93.7812,95.2849,93.4425,94.6818,8408726,8408726,0.826193,0.88,94.7581,"Feb 20, 14",0.05567851253399269
2014-02-21,94.7809,94.7975,93.0294,93.0955,9222025,9222025,-1.5863,-1.675,93.608,"Feb 21, 14",0.0379916622160576
2014-02-24,93.6656,95.0123,93.4012,94.31,7348553,7348553,1.2145,1.305,94.5685,"Feb 24, 14",0.051533035040323034
2014-02-25,94.4918,95.3717,94.3844,94.9875,5976339,5976339,0.677479,0.718,94.9617,"Feb 25, 14",0.05908699147378516
2014-02-26,94.8636,95.7228,94.5166,95.4336,6114023,6114023,0.446144,0.47,95.3034,"Feb 26, 14",0.06406089548111725
2014-02-27,95.5576,95.6898,94.6488,95.5823,4923905,4923905,0.148715,0.156,95.2278,"Feb 27, 14",0.06571886348356133
2014-02-28,95.7311,96.4499,94.8553,95.2849,6947143,6947143,-0.297428,-0.311,95.7547,"Feb 28, 14",0.06240292747867317
2014-03-03,94.8388,95.9954,94.4009,94.8801,6046576,6046576,-0.404836,-0.425,94.5835,"Mar 3, 14",0.05788950819562454
2014-03-04,95.7476,96.0615,95.2271,95.2767,5612688,5612688,0.396572,0.418,95.5415,"Mar 4, 14",0.06231149951888823
2014-03-05,95.0784,95.2271,94.1943,94.5413,6704008,6704008,-0.735309,-0.772,94.9506,"Mar 5, 14",0.054111972491333864
2014-03-06,94.7727,95.1362,94.4753,94.8883,5179876,5179876,0.346998,0.367,94.798,"Mar 6, 14",0.05798093615540963
2014-03-07,95.0701,95.7972,94.7148,95.0784,5055612,5055612,0.190025,0.2,95.105,"Mar 7, 14",0.060100503857256383
2014-03-10,95.3841,95.7889,94.2852,95.7063,6203531,6203531,0.627907,0.66,95.1436,"Mar 10, 14",0.06710143263153075
2014-03-11,95.7558,96.0285,94.3844,94.6074,6274518,6274518,-1.0988,-1.148,94.87,"Mar 11, 14",0.05484897104521104
2014-03-12,94.3017,96.1359,94.2935,95.5493,6821466,6821466,0.941863,0.996,95.5655,"Mar 12, 14",0.06535092169418236
2014-03-13,95.508,95.6319,94.2852,94.5579,5405112,5405112,-0.991434,-1.038,89.2111,"Mar 13, 14",0.054297058361142646
2014-03-14,94.4835,94.9297,93.9217,94.2687,6290005,6290005,-0.289167,-0.306,94.3153,"Mar 14, 14",0.05107255031603958
