date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-06,21.4339,21.5037,21.2682,21.4863,22416271,22416271,0.113405,0.531,21.4123,"Mar 6, 14",0.04719781264164456
2014-03-07,21.5473,21.6783,21.4339,21.495,25380925,25380925,0.008727,0.041,21.547,"Mar 7, 14",0.04762183264369161
2014-03-10,21.4686,21.7131,21.4426,21.6695,24945279,24945279,0.174471,0.812,21.6247,"Mar 10, 14",0.05612660165026627
2014-03-11,21.6171,21.679,21.4688,21.5735,26695627,26695627,-0.095961,-0.443,21.7733,"Mar 11, 14",0.05144776024836841
2014-03-12,21.5037,21.7043,21.4688,21.5997,21259016,21259016,0.026173,0.121,21.5927,"Mar 12, 14",0.052724694047636335
2014-03-13,21.6346,21.8047,21.3118,21.4339,26243253,26243253,-0.16575,-0.767,21.4985,"Mar 13, 14",0.044643945043108715
2014-03-14,21.3554,21.4993,21.2856,21.3728,21807232,21807232,-0.061065,-0.285,21.4315,"Mar 14, 14",0.04166605744252583
2014-03-17,21.495,21.652,21.3641,21.5473,18525794,18525794,0.174473,0.816,21.5554,"Mar 17, 14",0.05017082644910049
2014-03-18,21.5299,21.7218,21.4165,21.652,26344019,26344019,0.104682,0.486,21.6234,"Mar 18, 14",0.05527368785304539
2014-03-19,21.6782,22.0271,21.6126,21.8265,34229423,34229423,0.174472,0.806,21.5397,"Mar 19, 14",0.06377845685962005
2014-03-20,21.809,22.3237,21.7567,22.1798,37009068,37009068,0.353307,1.619,22.1367,"Mar 20, 14",0.0809975679772296
2014-03-21,22.3412,22.4022,21.9486,21.9573,56864569,56864569,-0.222451,-1.003,15.3333,"Mar 21, 14",0.07015337826970591
2014-03-24,21.9922,22.1405,21.7392,21.9137,36951569,36951569,-0.043617,-0.199,21.9234,"Mar 24, 14",0.06802840446634391
2014-03-25,21.9748,22.3935,21.9573,22.2103,32317416,32317416,0.296602,1.353,22.2191,"Mar 25, 14",0.08248407488095756
2014-03-26,22.3237,22.4546,22.0882,22.1381,26442817,26442817,-0.072233,-0.325,22.2426,"Mar 26, 14",0.07896519624328029
2014-03-27,22.1231,22.4633,22.062,22.0795,27209145,27209145,-0.058624,-0.265,22.1041,"Mar 27, 14",0.0761091534708717
2014-03-28,22.1667,22.5156,22.0882,22.3499,22884455,22884455,0.270435,1.225,22.3575,"Mar 28, 14",0.08928789008621743
2014-03-31,22.3761,22.7337,22.3499,22.5191,29336281,29336281,0.169237,0.757,22.5825,"Mar 31, 14",0.0975343480570624
2014-04-01,22.5069,22.6814,22.3673,22.6727,23779846,23779846,0.153534,0.682,22.5791,"Apr 1, 14",0.10502049430009884
2014-04-02,22.6465,22.725,22.3673,22.5854,22374400,22374400,-0.087237,-0.385,22.5099,"Apr 2, 14",0.10076567290024803
2014-04-03,22.8122,23.0827,22.8035,23.0391,38581278,38581278,0.453632,2.009,22.971,"Apr 3, 14",0.12287807231734243
2014-04-04,23.1088,23.3182,22.773,22.821,47918021,47918021,-0.218092,-0.947,23.009,"Apr 4, 14",0.11224832950740575
2014-04-07,22.9431,23.3269,22.8559,23.1045,49813483,49813483,0.283519,1.242,23.1925,"Apr 7, 14",0.12606553302238535
2014-04-08,22.9954,23.5363,22.9867,23.4752,56699485,56699485,0.370753,1.605,23.412,"Apr 8, 14",0.1441326841440888
2014-04-09,23.4927,23.5712,23.3182,23.5363,34481773,34481773,0.061062,0.26,23.447,"Apr 9, 14",0.1471105717446717
2014-04-10,23.5625,23.6323,22.9954,23.0521,40478238,40478238,-0.484158,-2.057,23.2364,"Apr 10, 14",0.12351166542384934
2014-04-11,22.9169,23.1961,22.8297,22.8383,36126904,36126904,-0.213818,-0.928,22.9606,"Apr 11, 14",0.1130914957183727
2014-04-14,22.9518,23.2484,22.8035,23.1699,26958006,26958006,0.331586,1.452,23.0963,"Apr 14, 14",0.12925299372742813
2014-04-15,23.1263,23.4054,22.9954,23.3531,45074434,45074434,0.183198,0.791,23.3675,"Apr 15, 14",0.13818178273605
2014-04-16,23.5363,23.7631,23.2004,23.4927,59037351,59037351,0.139575,0.598,25.8597,"Apr 16, 14",0.1449855979413097
2014-04-17,23.4491,23.689,23.3706,23.5886,38112609,38112609,0.095959,0.408,23.5747,"Apr 17, 14",0.1496595655500806
2014-04-21,23.5974,23.5974,23.3182,23.5101,20399688,20399688,-0.078511,-0.333,23.4765,"Apr 21, 14",0.14583363794540377
2014-04-22,23.4752,23.5363,23.2571,23.4142,29602313,29602313,-0.095962,-0.408,23.3704,"Apr 22, 14",0.1411596703366329
2014-04-23,23.3793,23.5276,23.3095,23.3357,25581417,25581417,-0.07851,-0.335,23.3876,"Apr 23, 14",0.13733374273195592
2014-04-24,23.388,23.5189,23.2397,23.3357,25432837,25432837,0,0,23.4066,"Apr 24, 14",0.13733374273195592
2014-04-25,23.2484,23.3095,22.8428,22.9082,33617211,33617211,-0.427459,-1.832,22.9635,"Apr 25, 14",0.1164982771141296
2014-04-28,22.8297,23.0216,22.6901,22.9693,33472820,33472820,0.061065,0.267,22.8898,"Apr 28, 14",0.1194761647147125
2014-04-29,22.9954,23.2528,22.9867,23.1001,22146001,22146001,0.130856,0.57,23.1257,"Apr 29, 14",0.12585108612479837
2014-04-30,22.9605,23.292,22.8733,23.2833,25863926,25863926,0.183197,0.793,23.1989,"Apr 30, 14",0.13477987513342007
2014-05-01,23.1263,23.2659,23.0216,23.074,19755249,19755249,-0.209366,-0.899,23.1162,"May 1, 14",0.1245790261186574
2014-05-02,23.1699,23.2397,23.0303,23.0391,24236459,24236459,-0.034894,-0.151,23.1193,"May 2, 14",0.12287807231734243
2014-05-05,23.0171,23.1051,22.8675,23.0259,20738950,20738950,-0.013187,-0.057,23.0036,"May 5, 14",0.12223473162458141
2014-05-06,23.0171,23.2106,22.8763,23.0523,21818282,21818282,0.026394,0.115,23.4103,"May 6, 14",0.12352141301010328
2014-05-07,23.1051,23.2722,23.0699,23.2018,24693262,24693262,0.149576,0.649,23.1699,"May 7, 14",0.13080773373493376
2014-05-08,23.1578,23.3426,23.0699,23.1754,24168530,24168530,-0.026397,-0.114,23.1953,"May 8, 14",0.1295210523494119
2014-05-09,23.2018,23.237,23.0699,23.1403,20324413,20324413,-0.035191,-0.152,23.1371,"May 9, 14",0.127810350961843
2014-05-12,23.237,23.3514,23.1403,23.2018,20607769,20607769,0.061588,0.266,23.2346,"May 12, 14",0.13080773373493376
2014-05-13,23.3074,23.3514,23.1666,23.2722,20524972,20524972,0.070389,0.303,23.2942,"May 13, 14",0.13423888409632567
2014-05-14,23.3074,23.3338,23.1666,23.1666,17811913,17811913,-0.105585,-0.454,23.2405,"May 14, 14",0.12909215855423792
2014-05-15,23.1666,23.3162,22.8851,22.8851,31752745,31752745,-0.281553,-1.215,22.9965,"May 15, 14",0.11537243090179795
2014-05-16,22.9203,22.9379,22.6475,22.7179,30017576,30017576,-0.167174,-0.73,22.7448,"May 16, 14",0.10722344879349247
2014-05-19,22.6563,22.9555,22.6563,22.9115,22680849,22680849,0.193572,0.852,22.8227,"May 19, 14",0.11665911228731982
2014-05-20,22.8939,23.0259,22.7663,22.9115,22293213,22293213,0,0,22.8779,"May 20, 14",0.11665911228731982
2014-05-21,22.9643,23.0963,22.8763,23.0523,18721592,18721592,0.140775,0.614,23.0197,"May 21, 14",0.12352141301010328
2014-05-22,23.0611,23.1139,22.9467,23.0083,15926522,15926522,-0.043992,-0.191,23.0245,"May 22, 14",0.1213769440342334
2014-05-23,23.0083,23.1403,22.9995,23.1306,17178021,17178021,0.122301,0.532,23.1116,"May 23, 14",0.12733759302852632
2014-05-27,23.1666,23.5274,23.0347,23.501,27271940,27271940,0.370418,1.601,23.4467,"May 27, 14",0.14539012277084887
2014-05-28,23.4922,23.7034,23.457,23.6506,27150171,27150171,0.149578,0.636,24.8853,"May 28, 14",0.15268131728880635
2014-05-29,23.677,23.7227,23.5109,23.721,20640029,20640029,0.070388,0.298,23.6753,"May 29, 14",0.15611246765019807
2014-05-30,23.7034,24.0377,23.6946,24.0377,43641005,43641005,0.316745,1.335,23.975,"May 30, 14",0.17154777048333406
2014-06-02,24.0289,24.0641,23.8617,23.9849,20265670,20265670,-0.052788,-0.22,23.9794,"Jun 2, 14",0.16897440771229016
2014-06-03,23.9497,24.3721,23.8617,24.3369,33257030,33257030,0.351943,1.467,24.2287,"Jun 3, 14",0.186130159519249
2014-06-04,24.2049,24.4248,24.1961,24.2841,21612727,21612727,-0.05279,-0.217,24.3976,"Jun 4, 14",0.1835567967482051
2014-06-05,24.2489,24.3369,24.1345,24.3369,26546297,26546297,0.05279,0.217,24.2392,"Jun 5, 14",0.186130159519249
2014-06-06,24.4424,24.8208,24.3984,24.7856,34795599,34795599,0.448727,1.844,24.8555,"Jun 6, 14",0.20799886927999442
2014-06-09,24.724,25.0055,24.4864,24.5568,39934314,39934314,-0.228763,-0.923,24.7094,"Jun 9, 14",0.19684763060547122
2014-06-10,24.504,24.9264,24.3896,24.8472,34260634,34260634,0.290352,1.182,24.8287,"Jun 10, 14",0.2110011258462123
2014-06-11,24.7592,24.8208,24.46,24.5744,27749284,27749284,-0.272754,-1.098,24.5857,"Jun 11, 14",0.19770541819581924
2014-06-12,24.5128,24.724,24.4336,24.6008,31211438,31211438,0.026394,0.107,24.8502,"Jun 12, 14",0.1989920995813411
2014-06-13,26.1758,26.4485,26.0086,26.2813,122194302,122194302,1.6805,6.831,26.2934,"Jun 13, 14",0.28089619308018854
2014-06-16,26.1494,26.5277,26.1054,26.4045,36407788,36407788,0.12318,0.469,26.3653,"Jun 16, 14",0.286900706212624
2014-06-17,26.2901,26.4837,26.2549,26.3517,28441218,28441218,-0.052794,-0.2,26.3895,"Jun 17, 14",0.2843273434415803
2014-06-18,26.2901,26.3781,26.1054,26.3341,34412750,34412750,-0.017595,-0.067,26.2549,"Jun 18, 14",0.28346955585123224
2014-06-19,26.3693,26.4749,26.2989,26.4749,27166851,27166851,0.140778,0.535,26.3982,"Jun 19, 14",0.2903318565740159
2014-06-20,26.4573,26.5717,26.4221,26.5717,39829862,39829862,0.096784,0.366,26.5235,"Jun 20, 14",0.2950496883209295
2014-06-23,26.4837,26.6685,26.2637,26.5981,26529643,26529643,0.026397,0.099,26.5644,"Jun 23, 14",0.29633636970645133
2014-06-24,26.5365,27.126,26.4749,26.8357,53398112,53398112,0.237561,0.893,26.9345,"Jun 24, 14",0.3079165021761485
2014-06-25,26.8181,27.2756,26.7873,27.17,44294569,44294569,0.334344,1.246,27.0967,"Jun 25, 14",0.32420959259963256
2014-06-26,27.1084,27.1876,26.9324,27.082,26728433,26728433,-0.087984,-0.324,27.0527,"Jun 26, 14",0.31992065464789277
2014-06-27,27.1612,27.2756,27.0116,27.214,30776510,30776510,0.131978,0.487,28.5236,"Jun 27, 14",0.32635406157550223
2014-06-30,27.1612,27.2756,26.9764,27.1876,21562544,21562544,-0.026395,-0.097,27.227,"Jun 30, 14",0.3250673801899804
2014-07-01,27.2668,27.3548,27.1612,27.258,28240458,28240458,0.070388,0.259,27.255,"Jul 1, 14",0.3284985305513721
2014-07-02,27.2668,27.3196,27.0996,27.258,16831171,16831171,0,0,27.2005,"Jul 2, 14",0.3284985305513721
2014-07-03,27.346,27.5922,27.2932,27.3988,20437633,20437633,0.140776,0.516,27.3976,"Jul 3, 14",0.3353608312741557
2014-07-07,27.3548,27.4516,27.2052,27.302,22237033,22237033,-0.096783,-0.353,27.2941,"Jul 7, 14",0.33064299952724197
